Date,Commodity,Location,Daily Price,Unit,Sowing Date,Harvest Date,Production (Tons),Rainfall (mm),Max Temp,Min Temp,Humidity (%),Extreme Event,Festival/Holiday,Commodity Relevance,Sentiment Score,Key Event
2023-01-11,masur,Mumbai,182.45,kg,2015-01-13,2015-09-08,27874.05,125.62,41.73,22.54,44.85,Flood,Diwali,moong,Neutral,Government Policy
2019-05-11,potato,Chennai,147.7,kg,2015-02-09,2015-09-06,28174.55,22.04,34.38,16.05,31.06,Flood,Eid,gram,Neutral,None
2023-03-22,moong,Chennai,91.36,quintal,2015-02-04,2015-07-28,27478.86,29.34,41.39,20.0,47.41,Flood,Diwali,gram,Negative,Government Policy
2015-04-26,potato,Kolkata,98.98,kg,2015-05-24,2015-09-10,10975.86,295.84,39.37,14.6,46.34,Flood,Diwali,masur,Negative,Crop Failure
2021-08-23,moong,Delhi,166.05,quintal,2015-04-23,2015-12-05,41129.99,186.31,43.73,17.19,86.69,None,Diwali,onion,Negative,Government Policy
2018-12-27,gram,Bangalore,32.53,quintal,2015-01-24,2015-07-15,10279.21,38.8,38.62,14.39,82.85,Drought,Christmas,moong,Negative,Crop Failure
2020-08-16,potato,Kolkata,170.91,quintal,2015-02-24,2015-10-11,47518.09,111.95,36.29,19.11,75.43,None,Onam,masur,Neutral,Government Policy
2021-02-19,tur,Kolkata,16.08,quintal,2015-05-28,2015-08-28,20711.44,266.49,41.42,12.27,77.56,Flood,Diwali,urad,Neutral,Import Ban
2015-04-18,onion,Delhi,38.91,quintal,2015-06-30,2015-07-15,5300.02,169.85,38.35,19.35,87.02,Flood,Eid,tur,Negative,Crop Failure
2017-12-16,onion,Kolkata,66.67,quintal,2015-04-12,2015-09-12,7960.85,202.56,40.59,23.09,51.0,None,Christmas,urad,Positive,Import Ban
2019-01-02,gram,Delhi,181.76,quintal,2015-01-07,2015-10-14,44156.43,72.4,25.42,12.37,82.86,Drought,Diwali,moong,Neutral,Import Ban
2021-10-12,moong,Bangalore,144.09,quintal,2015-04-10,2015-11-19,16416.16,21.63,42.59,14.32,49.7,None,Onam,masur,Positive,Government Policy
2020-09-02,urad,Bangalore,35.64,kg,2015-02-01,2015-11-19,8983.31,47.18,41.47,20.95,50.17,None,Holi,moong,Positive,Crop Failure
2015-08-31,gram,Bangalore,171.6,quintal,2015-05-15,2015-09-10,33034.99,58.57,31.62,14.99,53.61,Flood,Christmas,potato,Neutral,None
2016-12-30,urad,Mumbai,61.32,quintal,2015-06-14,2015-09-04,5999.41,14.92,41.46,15.8,86.64,Drought,Eid,urad,Positive,Crop Failure
2021-09-12,masur,Mumbai,72.67,kg,2015-06-26,2015-10-17,16136.77,201.4,35.97,24.2,68.53,Drought,Onam,onion,Negative,None
2017-10-27,urad,Kolkata,63.21,kg,2015-02-15,2015-12-04,28007.53,5.89,32.17,24.19,53.55,None,Christmas,gram,Neutral,Import Ban
2015-01-14,masur,Kolkata,16.58,quintal,2015-03-14,2015-11-23,11965.8,206.98,44.99,11.94,81.8,Drought,Christmas,onion,Negative,Government Policy
2017-07-03,masur,Bangalore,149.36,quintal,2015-01-24,2015-12-19,43816.47,229.03,30.37,19.56,52.29,Flood,Diwali,urad,Negative,Import Ban
2015-11-27,masur,Delhi,29.05,kg,2015-04-26,2015-07-14,19061.01,216.24,29.17,21.27,56.43,None,Diwali,moong,Positive,None
2022-05-03,gram,Mumbai,167.53,kg,2015-03-12,2015-11-29,16085.59,141.53,44.06,15.56,84.59,Flood,Christmas,potato,Neutral,None
2017-08-02,masur,Kolkata,91.92,quintal,2015-01-22,2015-10-05,21417.87,250.69,26.59,15.75,47.0,Drought,Eid,tur,Negative,Import Ban
2021-07-01,potato,Chennai,69.78,quintal,2015-06-23,2015-11-29,35302.07,257.98,25.68,22.91,66.74,Drought,Eid,potato,Neutral,Government Policy
2022-08-15,onion,Delhi,91.87,kg,2015-01-22,2015-12-01,29377.47,230.61,43.93,16.22,75.22,Flood,Onam,potato,Positive,Crop Failure
2015-05-24,urad,Chennai,192.07,quintal,2015-05-28,2015-12-05,9652.29,264.92,31.3,17.28,69.64,None,Eid,tur,Negative,Import Ban
2019-01-12,masur,Delhi,83.09,quintal,2015-01-02,2015-08-06,14148.59,214.13,33.46,23.39,69.73,Flood,Eid,moong,Negative,Crop Failure
2018-04-05,masur,Delhi,62.6,kg,2015-02-12,2015-09-15,37803.14,6.69,36.61,23.52,71.44,Flood,Christmas,urad,Positive,None
2016-11-18,moong,Mumbai,110.2,kg,2015-01-24,2015-12-16,33452.92,120.44,44.89,24.53,85.53,None,Eid,moong,Negative,Government Policy
2017-11-25,gram,Kolkata,16.44,kg,2015-01-28,2015-09-16,26598.77,32.68,31.99,15.55,55.88,Flood,Eid,gram,Positive,None
2023-08-07,onion,Mumbai,182.24,quintal,2015-05-28,2015-12-31,27271.03,182.16,37.58,18.1,38.8,None,Onam,gram,Negative,Import Ban
2018-12-01,gram,Delhi,199.19,kg,2015-01-29,2015-12-24,29613.77,279.2,40.01,18.75,60.18,Drought,Onam,tur,Positive,Crop Failure
2021-04-03,urad,Delhi,21.54,quintal,2015-03-18,2015-09-24,19574.15,216.21,26.71,15.57,34.4,None,Eid,potato,Positive,Crop Failure
2019-12-07,potato,Chennai,112.32,quintal,2015-02-20,2015-09-09,16436.85,6.64,27.05,18.15,72.22,None,Holi,urad,Neutral,Crop Failure
2017-11-05,masur,Mumbai,154.17,quintal,2015-05-26,2016-01-01,29992.68,153.19,41.82,11.76,79.4,None,Christmas,gram,Positive,None
2023-03-13,masur,Bangalore,158.48,kg,2015-05-12,2015-11-02,39536.04,225.05,25.35,17.6,54.1,Flood,Diwali,gram,Positive,Crop Failure
2017-02-04,gram,Bangalore,79.71,kg,2015-03-04,2015-08-03,4267.03,229.31,39.54,22.73,54.91,Drought,Holi,tur,Neutral,Government Policy
2020-10-31,tur,Kolkata,52.62,quintal,2015-01-30,2015-10-31,30679.39,100.15,27.75,23.78,61.6,Flood,Onam,gram,Positive,Import Ban
2022-12-17,gram,Delhi,82.12,quintal,2015-02-14,2015-08-10,6952.15,243.99,36.24,17.18,41.08,Drought,Holi,tur,Negative,Crop Failure
2017-10-22,onion,Bangalore,58.79,quintal,2015-02-14,2015-10-18,16847.66,56.79,36.24,24.54,40.95,None,Eid,gram,Neutral,Crop Failure
2019-03-17,masur,Mumbai,131.94,quintal,2015-05-19,2015-10-01,8740.09,257.49,29.78,12.88,47.12,Flood,Eid,potato,Neutral,Government Policy
2016-03-30,masur,Kolkata,58.58,kg,2015-05-03,2015-07-29,32041.03,283.74,28.41,11.34,66.96,Drought,Diwali,tur,Negative,Import Ban
2021-11-06,gram,Mumbai,48.53,quintal,2015-03-04,2015-09-30,42591.07,252.44,29.38,21.37,60.03,Flood,Diwali,potato,Neutral,Crop Failure
2017-05-26,onion,Delhi,30.98,quintal,2015-02-09,2015-12-31,36933.32,297.99,34.88,16.02,42.99,Flood,Christmas,potato,Neutral,Government Policy
2023-02-16,masur,Chennai,183.4,quintal,2015-04-23,2015-10-14,44300.62,157.2,31.81,24.68,64.25,Flood,Onam,masur,Neutral,Import Ban
2023-01-20,tur,Delhi,160.66,kg,2015-05-11,2015-11-10,14567.99,10.76,38.36,23.57,41.62,Flood,Onam,tur,Neutral,Crop Failure
2022-12-05,moong,Chennai,174.25,quintal,2015-05-03,2015-12-04,37385.27,256.77,25.48,14.33,82.84,Flood,Onam,masur,Negative,None
2018-05-24,onion,Kolkata,91.14,quintal,2015-04-19,2015-09-17,7934.0,35.48,30.08,10.23,74.45,Flood,Onam,potato,Neutral,Government Policy
2015-03-25,gram,Bangalore,123.02,quintal,2015-03-29,2015-09-06,25144.88,146.02,31.62,17.45,89.99,Flood,Christmas,gram,Positive,Crop Failure
2019-05-03,urad,Mumbai,130.81,quintal,2015-01-20,2015-07-03,29851.1,230.33,25.24,12.94,69.79,Drought,Christmas,moong,Neutral,None
2016-06-25,onion,Chennai,89.26,quintal,2015-05-30,2015-12-30,3320.59,222.64,41.66,16.99,86.14,Flood,Christmas,onion,Neutral,None
2020-09-16,masur,Kolkata,173.89,quintal,2015-01-01,2015-08-08,39305.7,229.42,43.77,16.53,57.66,Flood,Diwali,tur,Neutral,None
2017-05-19,gram,Delhi,124.06,quintal,2015-02-25,2015-12-27,32608.77,65.02,42.94,11.18,50.82,Flood,Diwali,masur,Positive,Import Ban
2022-02-04,onion,Bangalore,161.7,kg,2015-03-25,2015-07-25,40918.73,162.95,37.84,15.95,73.66,None,Eid,urad,Negative,Crop Failure
2018-09-07,tur,Bangalore,170.24,quintal,2015-03-07,2015-11-04,35332.09,136.19,25.59,14.99,77.67,None,Christmas,tur,Positive,Government Policy
2015-07-19,tur,Bangalore,198.95,quintal,2015-01-13,2015-08-25,49781.59,190.11,43.1,16.67,84.11,Flood,Holi,tur,Neutral,Import Ban
2017-10-02,moong,Bangalore,72.77,quintal,2015-01-20,2015-10-06,3148.72,53.57,35.45,22.15,72.95,Flood,Holi,onion,Negative,Government Policy
2021-02-28,gram,Mumbai,181.26,quintal,2015-01-20,2015-12-29,18036.66,127.46,31.72,20.71,52.74,Drought,Holi,potato,Negative,Import Ban
2017-03-29,moong,Chennai,165.61,quintal,2015-04-21,2015-08-31,43477.82,49.87,33.68,14.81,55.39,Drought,Holi,moong,Positive,None
2021-04-01,gram,Mumbai,26.91,quintal,2015-04-02,2015-10-24,47531.57,219.56,30.51,23.21,46.15,Flood,Diwali,masur,Negative,Government Policy
2021-10-15,masur,Kolkata,103.64,quintal,2015-05-21,2015-10-07,4979.24,280.0,44.35,22.78,75.12,None,Christmas,potato,Negative,None
2018-06-25,onion,Delhi,136.97,kg,2015-01-06,2015-11-16,49718.53,89.5,27.23,14.15,35.39,Flood,Onam,potato,Positive,None
2016-07-21,potato,Mumbai,181.29,kg,2015-01-07,2015-09-05,9578.7,207.59,39.14,18.84,78.87,Drought,Holi,tur,Negative,Government Policy
2020-06-05,tur,Mumbai,153.5,quintal,2015-02-12,2015-07-17,23686.0,77.78,42.66,23.08,80.67,Flood,Diwali,gram,Positive,Crop Failure
2021-01-07,moong,Delhi,131.62,quintal,2015-03-10,2015-11-26,20110.62,153.82,44.23,12.08,42.07,Flood,Diwali,urad,Neutral,None
2017-11-27,onion,Delhi,196.54,quintal,2015-01-10,2015-09-29,46655.24,75.9,30.8,20.44,82.54,Flood,Onam,tur,Neutral,Crop Failure
2019-01-01,gram,Delhi,155.9,quintal,2015-05-14,2015-07-27,4621.9,20.17,33.41,13.83,60.45,Drought,Christmas,moong,Neutral,Import Ban
2022-02-03,tur,Chennai,16.98,kg,2015-05-25,2015-07-22,45524.49,57.09,37.55,21.95,80.22,Drought,Diwali,moong,Positive,Government Policy
2022-02-16,onion,Mumbai,189.67,quintal,2015-06-07,2015-11-12,42810.52,5.97,42.72,22.68,44.58,Drought,Christmas,urad,Negative,None
2017-05-15,potato,Chennai,192.73,kg,2015-06-29,2015-10-09,27206.26,262.04,35.51,15.54,43.62,None,Eid,onion,Neutral,Government Policy
2022-09-04,onion,Chennai,71.13,quintal,2015-06-01,2015-07-02,14207.54,78.19,41.01,11.29,73.64,Drought,Holi,potato,Negative,None
2019-05-04,potato,Chennai,135.98,kg,2015-04-11,2015-12-12,43605.35,39.77,33.25,17.11,64.6,None,Eid,masur,Positive,Import Ban
2017-09-06,urad,Bangalore,129.54,kg,2015-01-28,2015-07-31,11426.18,62.59,40.39,11.75,62.46,Drought,Holi,potato,Positive,None
2016-03-13,gram,Mumbai,177.47,kg,2015-02-23,2015-08-12,4668.67,77.5,42.25,15.03,70.37,None,Onam,masur,Positive,Government Policy
2016-03-15,tur,Chennai,20.94,kg,2015-01-16,2015-11-26,20508.06,152.24,40.3,21.12,60.31,Flood,Onam,urad,Positive,None
2015-11-11,potato,Mumbai,145.72,kg,2015-04-10,2015-11-29,33271.08,267.95,28.44,15.06,41.12,None,Onam,masur,Neutral,Government Policy
2020-04-25,onion,Bangalore,78.96,quintal,2015-01-15,2015-08-05,17867.8,75.5,32.59,19.17,62.96,Drought,Onam,moong,Neutral,None
2021-10-19,masur,Chennai,137.62,kg,2015-03-12,2015-07-31,39997.05,139.61,34.63,10.55,40.29,None,Christmas,tur,Positive,None
2021-06-26,onion,Chennai,159.75,quintal,2015-03-12,2015-07-21,19158.74,245.88,37.67,10.07,64.61,Flood,Diwali,urad,Neutral,Government Policy
2015-02-06,onion,Mumbai,92.25,kg,2015-06-09,2015-11-01,22119.43,217.57,30.01,14.45,48.81,Drought,Onam,potato,Positive,None
2020-10-26,onion,Delhi,177.62,quintal,2015-03-11,2015-11-06,23871.71,210.24,41.57,20.32,72.89,None,Eid,gram,Negative,Import Ban
2018-09-15,gram,Bangalore,35.35,kg,2015-02-15,2015-12-21,7971.84,150.91,42.83,11.96,42.61,None,Christmas,moong,Positive,Import Ban
2017-01-16,moong,Delhi,162.14,kg,2015-06-24,2015-11-16,24459.19,204.53,42.41,10.97,79.46,Flood,Christmas,potato,Positive,Crop Failure
2018-09-02,gram,Kolkata,10.95,quintal,2015-03-20,2015-10-06,39923.0,274.67,33.2,10.0,58.19,Drought,Diwali,tur,Positive,Government Policy
2020-09-24,gram,Bangalore,67.11,kg,2015-06-30,2015-07-01,24963.63,241.53,32.26,18.33,56.83,None,Holi,potato,Positive,None
2015-01-16,urad,Bangalore,11.64,kg,2015-02-28,2015-09-22,40445.34,99.42,44.67,19.78,73.75,None,Diwali,gram,Positive,Import Ban
2022-03-21,moong,Kolkata,154.28,kg,2015-05-16,2015-12-20,30487.57,142.7,35.56,18.15,42.42,Flood,Onam,tur,Neutral,Crop Failure
2019-05-08,potato,Bangalore,186.53,quintal,2015-05-24,2015-12-19,10069.73,135.96,32.58,11.45,58.41,Drought,Holi,masur,Neutral,Import Ban
2015-11-26,urad,Chennai,34.67,quintal,2015-03-28,2015-09-19,17229.85,192.17,33.35,12.37,82.8,Flood,Onam,onion,Neutral,Crop Failure
2020-01-27,tur,Kolkata,120.51,kg,2015-03-30,2015-12-12,21149.02,33.6,38.03,21.75,54.8,None,Eid,potato,Negative,Government Policy
2023-04-09,onion,Delhi,145.38,quintal,2015-01-05,2015-07-04,5236.37,129.1,43.47,11.61,58.03,Flood,Onam,gram,Negative,Crop Failure
2017-11-19,urad,Bangalore,163.12,quintal,2015-04-02,2015-10-29,10565.64,72.42,31.1,22.07,64.5,None,Onam,tur,Negative,Government Policy
2018-01-02,urad,Delhi,173.33,kg,2015-05-28,2015-08-31,24346.5,75.84,25.85,19.97,32.09,None,Onam,onion,Positive,Government Policy
2015-01-20,gram,Chennai,166.83,quintal,2015-06-25,2015-10-21,4723.17,55.41,26.73,12.49,44.98,Flood,Diwali,urad,Positive,Government Policy
2017-03-31,onion,Kolkata,70.16,quintal,2015-04-14,2015-07-12,40394.84,37.45,42.05,18.36,73.65,None,Onam,gram,Negative,None
2021-11-26,moong,Bangalore,82.46,kg,2015-06-03,2015-09-15,5354.81,257.54,27.72,11.41,87.56,Drought,Christmas,urad,Positive,Crop Failure
2021-12-17,gram,Chennai,80.53,kg,2015-03-01,2015-11-04,2365.18,175.88,35.39,14.28,61.59,None,Christmas,masur,Negative,Crop Failure
2021-06-09,onion,Mumbai,124.26,kg,2015-06-25,2015-07-31,6060.65,285.26,31.07,13.47,84.8,Flood,Christmas,tur,Negative,Import Ban
2015-07-04,moong,Delhi,184.03,kg,2015-02-13,2015-07-11,42292.14,140.86,44.53,17.93,86.07,Flood,Christmas,moong,Positive,None
2023-04-25,tur,Kolkata,116.3,quintal,2015-06-11,2015-10-28,48059.48,221.3,34.19,20.72,35.5,Flood,Diwali,urad,Positive,None
2016-03-22,onion,Kolkata,130.83,quintal,2015-01-13,2015-10-06,33511.8,14.77,31.46,21.8,31.5,None,Holi,urad,Neutral,Import Ban
2017-07-16,potato,Bangalore,118.28,kg,2015-05-23,2015-12-08,33452.04,190.63,35.26,23.74,55.17,None,Onam,potato,Negative,Crop Failure
2022-11-05,moong,Chennai,56.02,kg,2015-01-13,2015-12-08,32326.74,113.68,43.42,13.53,66.96,None,Diwali,masur,Positive,Crop Failure
2021-03-26,masur,Chennai,45.96,quintal,2015-04-21,2015-08-04,35303.12,54.28,41.03,21.69,56.18,Flood,Holi,tur,Neutral,None
2018-05-10,onion,Kolkata,164.45,kg,2015-02-26,2015-08-23,44992.98,37.43,37.39,18.04,84.06,Flood,Christmas,tur,Positive,Government Policy
2018-08-06,moong,Kolkata,50.22,quintal,2015-03-20,2015-08-28,32158.27,146.11,36.46,10.19,69.69,None,Holi,tur,Positive,Government Policy
2015-05-19,urad,Bangalore,99.54,quintal,2015-03-02,2015-08-14,36022.5,299.59,36.63,23.78,64.12,Flood,Diwali,moong,Neutral,None
2023-05-09,potato,Kolkata,158.69,kg,2015-04-25,2015-08-27,43189.06,159.49,35.62,22.48,46.41,None,Holi,onion,Neutral,None
2022-06-26,masur,Kolkata,197.0,quintal,2015-02-15,2015-10-18,13205.47,172.01,38.13,22.48,68.81,None,Diwali,masur,Positive,Crop Failure
2019-02-18,masur,Bangalore,55.63,quintal,2015-06-01,2015-08-12,29643.01,222.64,44.6,24.83,83.6,Flood,Holi,masur,Positive,Government Policy
2016-07-20,urad,Chennai,63.45,kg,2015-03-08,2015-08-27,22920.33,278.11,44.85,24.12,56.26,Drought,Eid,urad,Neutral,Government Policy
2023-01-25,masur,Delhi,37.12,kg,2015-04-02,2015-09-19,6705.32,116.02,40.08,20.07,69.68,None,Christmas,gram,Negative,Crop Failure
2017-09-03,potato,Mumbai,131.03,quintal,2015-06-24,2015-08-04,29399.12,66.14,36.84,19.53,60.92,Flood,Onam,urad,Positive,Crop Failure
2023-08-22,gram,Kolkata,53.96,kg,2015-03-04,2015-11-22,42280.62,50.1,35.15,21.59,40.57,Drought,Holi,masur,Positive,None
2015-01-30,gram,Delhi,140.02,kg,2015-05-11,2015-08-12,43035.72,224.32,30.52,21.18,88.25,None,Onam,masur,Neutral,Import Ban
2015-10-15,gram,Chennai,93.45,kg,2015-04-20,2015-12-13,19233.63,149.14,31.62,12.54,53.97,Flood,Christmas,gram,Neutral,Import Ban
2017-05-22,onion,Delhi,64.47,kg,2015-01-22,2015-10-11,45206.66,48.18,30.62,11.22,71.27,None,Holi,onion,Negative,Government Policy
2017-01-16,onion,Chennai,106.79,quintal,2015-03-18,2015-11-27,44363.69,232.71,29.9,15.96,34.61,Flood,Eid,potato,Negative,Import Ban
2017-09-08,moong,Chennai,195.68,kg,2015-03-05,2015-07-16,26041.5,56.13,29.13,17.51,45.7,None,Eid,masur,Negative,Government Policy
2020-03-03,gram,Delhi,157.37,kg,2015-03-27,2015-12-31,40543.22,298.99,36.5,24.33,50.62,Flood,Holi,gram,Neutral,Import Ban
2021-11-12,moong,Bangalore,197.05,quintal,2015-03-07,2015-11-04,32444.13,244.24,32.67,13.45,64.62,None,Christmas,gram,Positive,Import Ban
2016-08-18,masur,Bangalore,119.97,kg,2015-05-30,2015-12-17,4997.21,141.83,33.44,13.26,86.54,Drought,Christmas,moong,Positive,Government Policy
2020-02-06,gram,Chennai,90.54,kg,2015-06-16,2015-11-24,47149.73,73.71,42.5,12.5,82.93,None,Christmas,gram,Positive,Government Policy
2019-06-25,onion,Chennai,111.86,kg,2015-03-31,2015-07-08,30470.68,149.61,38.35,15.07,59.7,Drought,Holi,gram,Neutral,Crop Failure
2023-06-28,potato,Chennai,178.57,kg,2015-03-26,2015-10-25,40424.12,27.07,41.17,16.68,46.55,None,Christmas,urad,Negative,Crop Failure
2020-01-25,moong,Delhi,53.8,quintal,2015-05-06,2015-07-04,30552.94,19.23,41.88,20.7,69.65,Flood,Christmas,onion,Neutral,Government Policy
2023-08-29,tur,Chennai,134.51,kg,2015-02-02,2015-11-04,37311.11,291.73,29.73,23.98,82.65,Drought,Diwali,moong,Neutral,Import Ban
2015-10-06,gram,Delhi,42.31,quintal,2015-05-07,2015-08-09,34773.35,176.91,27.35,12.91,61.96,Flood,Onam,gram,Neutral,Crop Failure
2016-01-14,masur,Chennai,107.8,quintal,2015-02-27,2015-10-29,12861.53,58.19,40.8,22.46,47.94,Drought,Onam,moong,Positive,None
2018-01-03,urad,Delhi,121.58,quintal,2015-01-09,2015-12-10,15406.11,269.68,25.61,16.67,63.76,Drought,Eid,potato,Positive,None
2021-07-08,tur,Chennai,190.09,quintal,2015-06-14,2015-08-02,24254.48,140.29,38.52,18.93,86.84,None,Christmas,moong,Negative,Crop Failure
2017-02-14,tur,Delhi,171.73,quintal,2015-04-28,2015-08-06,35934.32,243.49,29.29,13.16,41.08,Drought,Diwali,onion,Negative,Import Ban
2015-08-23,gram,Mumbai,53.71,kg,2015-04-19,2015-08-06,10570.3,269.24,37.23,22.42,86.65,Drought,Diwali,gram,Neutral,Government Policy
2019-12-16,masur,Mumbai,60.89,kg,2015-05-16,2015-07-17,13088.09,293.34,27.85,14.5,64.74,Flood,Diwali,onion,Positive,Crop Failure
2018-02-12,gram,Chennai,72.58,quintal,2015-06-08,2015-07-27,20419.28,279.89,28.83,17.51,54.73,None,Eid,tur,Positive,None
2017-05-30,masur,Bangalore,193.74,quintal,2015-05-18,2015-10-15,34784.69,198.96,43.65,14.43,40.7,None,Eid,gram,Negative,Crop Failure
2016-05-30,masur,Bangalore,175.53,kg,2015-04-04,2015-07-31,6613.06,106.15,25.9,16.47,38.33,Drought,Onam,potato,Neutral,Import Ban
2018-10-14,tur,Bangalore,78.29,kg,2015-05-22,2015-11-18,10199.07,220.58,37.83,10.56,65.68,Drought,Holi,masur,Negative,Crop Failure
2016-10-17,moong,Mumbai,82.05,quintal,2015-02-10,2015-11-26,2005.42,153.34,29.89,19.76,83.58,None,Onam,potato,Positive,Government Policy
2020-09-26,masur,Bangalore,39.99,quintal,2015-03-04,2015-11-23,6652.95,102.57,44.73,21.94,39.71,Flood,Onam,masur,Positive,None
2023-04-08,masur,Chennai,48.21,kg,2015-01-19,2015-10-03,8233.38,186.86,39.17,12.48,71.3,Flood,Onam,gram,Neutral,Government Policy
2023-05-17,urad,Mumbai,118.25,kg,2015-06-30,2015-11-10,10220.96,203.13,38.38,24.69,45.71,Drought,Onam,moong,Positive,Import Ban
2016-04-26,potato,Delhi,33.8,kg,2015-03-06,2015-08-27,43689.29,205.11,39.23,14.24,50.54,Flood,Diwali,onion,Negative,Government Policy
2016-01-24,potato,Kolkata,117.8,kg,2015-06-02,2015-11-28,33493.46,194.25,38.22,23.31,50.06,Flood,Onam,masur,Neutral,Government Policy
2022-12-28,tur,Bangalore,136.11,quintal,2015-04-26,2015-08-23,45357.59,155.54,38.19,19.27,53.81,None,Eid,masur,Neutral,Government Policy
2015-09-15,urad,Bangalore,37.87,kg,2015-05-04,2015-10-07,33583.71,266.93,31.66,19.62,77.32,Flood,Onam,moong,Negative,Import Ban
2022-05-31,tur,Delhi,23.83,kg,2015-06-15,2015-11-18,29636.49,170.43,37.08,22.62,66.06,None,Eid,urad,Neutral,None
2017-11-12,tur,Delhi,131.44,kg,2015-03-12,2015-11-26,9076.46,4.44,26.01,23.26,65.74,Flood,Christmas,gram,Negative,None
2020-05-22,potato,Chennai,138.69,quintal,2015-03-05,2015-12-06,8570.79,139.08,42.25,16.96,44.3,Drought,Eid,potato,Neutral,Government Policy
2017-04-16,masur,Bangalore,144.28,quintal,2015-05-20,2015-10-10,16759.0,114.84,34.53,11.34,67.31,None,Diwali,masur,Negative,Import Ban
2021-12-09,moong,Bangalore,182.62,quintal,2015-02-28,2015-12-15,9790.52,232.77,37.28,21.29,64.81,None,Diwali,potato,Neutral,None
2021-01-14,gram,Chennai,54.62,kg,2015-02-28,2015-10-10,24391.76,231.16,32.92,20.98,32.32,Flood,Onam,urad,Neutral,Import Ban
2019-06-25,gram,Mumbai,184.95,kg,2015-03-16,2015-11-04,6754.61,65.11,34.97,22.45,79.04,Drought,Diwali,potato,Negative,Import Ban
